eFDR	TP	FP	len	method	GrpSize	myIntersection
1	0	1	1	MSstatsPTM	2	1
NA	0	0	0	MSstatsPTM	2	0
0	58	0	58	MSstatsPTM	3	58
0.1111111111111111	8	1	9	MSstatsPTM	3	9
0.03070175438596491	221	7	228	MSstatsPTM	5	228
0.023076923076923078	127	3	130	MSstatsPTM	5	130
0.0421455938697318	250	11	261	MSstatsPTM	10	261
0.043478260869565216	242	11	253	MSstatsPTM	10	253
0.1949685534591195	128	31	159	Prophosqua	2	1
0.21929824561403508	89	25	114	Prophosqua	2	0
0.11764705882352941	165	22	187	Prophosqua	3	58
0.21804511278195488	104	29	133	Prophosqua	3	9
0.078125	236	20	256	Prophosqua	5	228
0.05699481865284974	182	11	193	Prophosqua	5	130
0.06015037593984962	250	16	266	Prophosqua	10	261
0.060836501901140684	247	16	263	Prophosqua	10	253
